Generation 0: Best Individual = [14.345690723537414, 0.7414810276622554], Fitness = 42.69520902925036
Generation 305: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 306: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 307: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 308: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 309: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 310: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 311: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 312: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 313: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 314: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 315: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 316: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 317: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 318: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 319: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 320: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 321: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 322: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 323: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 324: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 325: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 326: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 327: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 328: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 329: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 330: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 331: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 332: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 333: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 334: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 335: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 336: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 337: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 338: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 339: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 340: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 341: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 342: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 343: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 344: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 345: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 346: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 347: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 348: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 349: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 350: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 351: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 352: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 353: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 354: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 355: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 356: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 357: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 358: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 359: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 360: Best Individual = [14.204344944422902, 0.7354950853351597], Fitness = 6.209611439344964
Generation 361: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 362: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 363: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 364: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 365: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 366: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 367: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 368: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 369: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 370: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 371: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 372: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 373: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 374: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 375: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 376: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 377: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 378: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 379: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 380: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 381: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 382: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 383: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 384: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 385: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 386: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 387: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 388: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 389: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 390: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 391: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 392: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 393: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 394: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 395: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 396: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 397: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 398: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 399: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 400: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 401: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 402: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 403: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 404: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 405: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 406: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 407: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 408: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 409: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 410: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 411: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 412: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 413: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 414: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 415: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 416: Best Individual = [14.195876187214534, 0.7354950853351597], Fitness = 6.2101114229552365
Generation 417: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 418: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 419: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 420: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 421: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 422: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 423: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 424: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 425: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 426: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 427: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 428: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 429: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 430: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 431: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 432: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 433: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 434: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 435: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 436: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 437: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 438: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 439: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 440: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 441: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 442: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 443: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 444: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 445: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 446: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 447: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 448: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 449: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 450: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 451: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 452: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 453: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 454: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 455: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 456: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 457: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 458: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 459: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 460: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 461: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 462: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 463: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 464: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 465: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 466: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 467: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 468: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 469: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 470: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 471: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 472: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 473: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 474: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 475: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 476: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 477: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 478: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 479: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 480: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 481: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 482: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 483: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 484: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 485: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 486: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 487: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 488: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 489: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 490: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 491: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 492: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 493: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 494: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 495: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 496: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 497: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 498: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 499: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 500: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 501: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 502: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 503: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 504: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 505: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 506: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 507: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 508: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 509: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 510: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 511: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 512: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 513: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 514: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 515: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 516: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 517: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 518: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 519: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 520: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 521: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 522: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 523: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 524: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 525: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 526: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 527: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 528: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 529: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 530: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 531: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 532: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 533: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 534: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 535: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 536: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 537: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 538: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 539: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 540: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 541: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 542: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 543: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 544: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 545: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 546: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 547: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 548: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 549: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 550: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 551: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 552: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 553: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 554: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 555: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 556: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 557: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 558: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 559: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 560: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 561: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 562: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 563: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 564: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 565: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 566: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 567: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 568: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 569: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 570: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 571: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 572: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 573: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 574: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 575: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 576: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 577: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 578: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 579: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 580: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 581: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 582: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 583: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 584: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 585: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 586: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 587: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 588: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 589: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 590: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 591: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 592: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 593: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 594: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 595: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 596: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 597: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 598: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 599: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 600: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 601: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 602: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 603: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 604: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 605: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 606: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 607: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
Generation 608: Best Individual = [14.195876187214534, 0.7342363965820883], Fitness = 0.5137230446029306
